hourly_wage,area1,area2,name
5600,강남구,삼성동,gs25
5700,강남구,삼성동,gs25
5600,강서구,화곡동,gs25
5580,광진구,군자동,gs25
5580,광진구,중곡동,gs25
6000,구로구,구로동,gs25
5580,구로구,구로동,gs25
5600,동대문구,장안동,gs25
5600,마포구,서교동,gs25
6000,성동구,금호동4,gs25
5580,성북구,동소문동,gs25
5800,성북구,하월곡동,gs25
5600,송파구,송파동,gs25
6300,영등포구,영등포동,gs25
5580,은평구,신사동,gs25
5600,종로구,관수동,gs25
5600,중구,소공동,gs25
5580,중구,신당동,gs25
6200,강남구,논현동,07-11
5600,강남구,신사동,07-11
5700,강남구,논현동,07-11
5580,강남구,대치4동,07-11
5800,강남구,역삼동,07-11
5580,강남구,논현동,07-11
5580,강남구,역삼동,07-11
5580,강남구,대치동,07-11
5580,강남구,역삼동,07-11
6000,강남구,대치동,07-11
5600,강남구,역삼동,07-11
7500,강남구,논현동,07-11
6500,강남구,청담동,07-11
5600,강남구,논현동,07-11
6000,강동구,천호2동,07-11
5580,강북구,미아동,07-11
5580,강서구,마곡동,07-11
5580,강서구,공항동,07-11
5580,강서구,가양동,07-11
6600,강서구,등촌동,07-11
5580,강서구,화곡동,07-11
6000,강서구,등촌동,07-11
5600,강서구,등촌동,07-11
5580,관악구,인헌동,07-11
5700,관악구,신림동,07-11
6000,관악구,인헌동,07-11
5580,관악구,신림동,07-11
5580,광진구,군자동,07-11
5600,광진구,자양동,07-11
5580,광진구,능동,07-11
5700,광진구,광장동,07-11
5900,광진구,중곡동,07-11
5580,광진구,능동,07-11
5700,구로구,구로동,07-11
5600,구로구,개봉동,07-11
6500,구로구,구로4동,07-11
5580,구로구,구로동,07-11
5580,구로구,구로4동,07-11
6200,구로구,개봉동,07-11
5600,금천구,독산동,07-11
5580,노원구,공릉동,07-11
5580,노원구,공릉동,07-11
6500,도봉구,창동,07-11
6300,동대문구,장안동,07-11
5600,동대문구,이문1동,07-11
6000,동대문구,장안동,07-11
5580,동작구,상도동,07-11
5600,동작구,신대방동,07-11
6000,마포구,성산2동,07-11
5580,마포구,서교동,07-11
6000,마포구,서교동,07-11
5580,마포구,마포동,07-11
5800,마포구,아현동,07-11
5580,마포구,서교동,07-11
6500,마포구,동교동,07-11
5580,마포구,창전동,07-11
5600,마포구,망원동,07-11
5600,마포구,서교동,07-11
5600,서대문구,북가좌1,07-11
5580,서대문구,홍제동,07-11
5580,서초구,서초동,07-11
5600,서초구,방배동,07-11
5700,서초구,서초3동,07-11
5580,서초구,반포동,07-11
5800,서초구,서초3동,07-11
5600,서초구,서초3동,07-11
5580,성동구,성수동2,07-11
5580,성동구,행당동,07-11
5600,성동구,성수동2,07-11
5580,성동구,옥수동,07-11
5600,성동구,하왕십리,07-11
6500,성동구,사근동,07-11
5580,성북구,하월곡동,07-11
5900,성북구,석관동,07-11
5600,성북구,동선동3,07-11
5580,성북구,동선동3,07-11
5580,성북구,안암동5,07-11
6000,송파구,송파동,07-11
5580,송파구,송파동,07-11
5580,송파구,잠실동,07-11
5580,송파구,잠실본동,07-11
5580,송파구,방이동,07-11
5580,송파구,신천동,07-11
5600,송파구,문정1동,07-11
5580,송파구,방이동,07-11
5580,양천구,신정동,07-11
5800,양천구,신정동,07-11
5580,양천구,목3동,07-11
6000,영등포구,여의도동,07-11
6200,영등포구,영등포동,07-11
5580,영등포구,여의도동,07-11
5580,영등포구,양평동1,07-11
5600,영등포구,당산동6,07-11
5580,영등포구,당산동6,07-11
5600,영등포구,양평동5,07-11
6000,용산구,이태원동,07-11
5600,용산구,문배동,07-11
5580,은평구,불광동,07-11
5580,은평구,응암2동,07-11
5580,은평구,대조동,07-11
6000,은평구,진관동,07-11
5600,종로구,와룡동,07-11
5580,종로구,내수동,07-11
6480,종로구,관수동,07-11
5580,종로구,창신동,07-11
5600,종로구,종로5가,07-11
5600,종로구,인의동,07-11
5580,종로구,무악동,07-11
5580,종로구,창신동,07-11
5580,종로구,묘동,07-11
6480,종로구,낙원동,07-11
5580,중구,명동1가,07-11
5580,중구,광희동2,07-11
5600,중구,오장동,07-11
6000,중구,충무로4,07-11
6300,중구,다동,07-11
5580,중구,을지로1,07-11
6690,중구,명동2가,07-11
5580,중구,신당6동,07-11
6500,중구,북창동,07-11
6000,중구,신당동,07-11
5580,중랑구,망우동,07-11
5580,중랑구,신내1동,07-11
5600,강남구,논현동,CU
6000,강남구,논현동,CU
6100,강남구,신사동,CU
6000,강남구,대치4동,CU
6500,강남구,논현1동,CU
5600,강북구,수유3동,CU
6000,강서구,방화동,CU
5580,관악구,신원동,CU
5580,관악구,봉천동,CU
5580,구로구,구로동,CU
6300,금천구,독산동,CU
6300,금천구,가산동,CU
5580,노원구,하계1동,CU
5580,노원구,상계동,CU
5580,노원구,공릉동,CU
5800,동작구,상도동,CU
5900,마포구,창전동,CU
5600,마포구,동교동,CU
5580,서대문구,합동,CU
6900,서대문구,신촌동,CU
6500,서대문구,현저동,CU
6000,서대문구,충정로2,CU
5580,서대문구,홍은동,CU
6000,서초구,반포4동,CU
5580,성동구,용답동,CU
6000,성동구,성수동1,CU
5600,성북구,안암동5,CU
5580,송파구,신천동,CU
5580,송파구,풍납동,CU
5580,영등포구,당산동,CU
5700,영등포구,당산동3,CU
6600,용산구,한남동,CU
7500,용산구,이태원동,CU
5800,용산구,문배동,CU
6000,은평구,대조동,CU
5580,은평구,불광동,CU
